Año,PIB,Inflacion,Desempleo
2007,1.90242859700484,2.27618478002121,3.142
2008,6.56492068224719,8.40009593987462,3.917
2009,1.0910129698311,5.15996829181047,4.608
2010,4.02913787986621,3.55437734567843,4.088
2011,8.48147656332823,4.4745326579584,3.458
2012,5.783212336172,5.10172180958666,3.235
2013,7.21123653679159,2.72177577710371,3.083
2014,4.22606520388456,3.58922016616663,3.48
2015,0.119692109287612,3.96664623255358,3.616
2016,-0.687954245877947,1.72826463324533,4.597
2017,5.97039880954841,0.417335588666825,3.836
2018,1.04429460679607,-0.224103246005552,3.53
2019,0.1654044646003,0.266012515466155,3.812
2020,-9.24509619165865,-0.338872392562139,6.116
2021,9.42189269033631,0.133251386096389,4.504
2022,5.86842354862311,3.46616972213077,3.713
2023,1.8328406107788,2.21568764237058,3.51
2024,-1.94409022506859,1.54732515615369,3.453
